time,temperature_2m,relative_humidity_2m,pressure_msl,windspeed_10m,weathercode,city
2025-04-12 00:00:00,27.4,83,1006.1,5.9,1,0
2025-04-12 01:00:00,27.3,83,1006.8,5.6,0,0
2025-04-12 02:00:00,28.2,75,1007.7,6.5,0,0
2025-04-12 03:00:00,30.2,64,1008.7,7.8,0,0
2025-04-12 04:00:00,32.3,55,1008.8,8.8,0,0
2025-04-12 05:00:00,34.4,48,1008.4,9.0,2,0
2025-04-12 06:00:00,36.2,42,1007.6,9.1,1,0
2025-04-12 07:00:00,37.6,37,1006.5,7.9,1,0
2025-04-12 08:00:00,38.2,35,1005.3,4.6,1,0
2025-04-12 09:00:00,38.1,38,1005.0,8.9,2,0
2025-04-12 10:00:00,35.5,52,1004.7,12.0,1,0
2025-04-12 11:00:00,34.1,56,1004.6,11.2,1,0
2025-04-12 12:00:00,32.6,62,1004.8,10.3,0,0
2025-04-12 13:00:00,31.1,72,1005.8,8.4,0,0
2025-04-12 14:00:00,30.5,75,1006.9,6.5,0,0
2025-04-12 15:00:00,30.1,78,1007.8,5.4,1,0
2025-04-12 16:00:00,29.9,80,1008.7,4.8,3,0
2025-04-12 17:00:00,29.8,81,1009.2,5.2,3,0
2025-04-12 18:00:00,29.5,80,1008.8,5.4,1,0
2025-04-12 19:00:00,29.2,82,1008.2,4.6,3,0
2025-04-12 20:00:00,28.9,85,1007.7,5.2,3,0
2025-04-12 21:00:00,28.7,88,1007.0,5.2,3,0
2025-04-12 22:00:00,28.6,89,1007.0,4.7,2,0
2025-04-12 23:00:00,28.3,89,1007.1,2.9,3,0
2025-04-13 00:00:00,28.2,89,1007.7,3.2,2,0
2025-04-13 01:00:00,28.1,89,1008.3,2.6,2,0
2025-04-13 02:00:00,28.8,85,1009.4,3.6,2,0
2025-04-13 03:00:00,30.6,69,1010.2,3.5,2,0
2025-04-13 04:00:00,32.5,57,1010.3,2.3,2,0
2025-04-13 05:00:00,34.3,49,1009.7,2.9,2,0
2025-04-13 06:00:00,35.9,44,1008.9,3.3,2,0
2025-04-13 07:00:00,37.0,40,1007.8,4.4,2,0
2025-04-13 08:00:00,37.2,41,1006.9,7.4,2,0
2025-04-13 09:00:00,36.2,47,1006.2,11.6,2,0
2025-04-13 10:00:00,34.6,53,1006.0,11.2,1,0
2025-04-13 11:00:00,33.6,56,1005.7,10.2,0,0
2025-04-13 12:00:00,32.1,65,1006.0,10.1,0,0
2025-04-13 13:00:00,30.5,76,1006.8,9.2,1,0
2025-04-13 14:00:00,29.7,82,1007.6,8.0,2,0
2025-04-13 15:00:00,29.3,84,1008.6,7.2,3,0
2025-04-13 16:00:00,29.1,86,1009.2,6.6,3,0
2025-04-13 17:00:00,28.9,87,1009.4,5.8,2,0
2025-04-13 18:00:00,28.6,88,1009.0,5.5,3,0
2025-04-13 19:00:00,28.6,86,1008.3,5.0,2,0
2025-04-13 20:00:00,28.5,84,1007.8,3.6,3,0
2025-04-13 21:00:00,28.5,82,1007.7,2.3,3,0
2025-04-13 22:00:00,28.5,82,1007.9,2.5,3,0
2025-04-13 23:00:00,28.3,84,1008.1,3.7,3,0
2025-04-14 00:00:00,28.0,86,1008.8,2.1,3,0
2025-04-14 01:00:00,28.0,87,1009.5,3.1,3,0
2025-04-14 02:00:00,28.7,84,1010.3,3.6,2,0
2025-04-14 03:00:00,30.2,72,1010.7,5.1,2,0
2025-04-14 04:00:00,31.8,63,1010.6,5.4,2,0
2025-04-14 05:00:00,33.2,55,1010.4,4.6,2,0
2025-04-14 06:00:00,34.2,53,1009.7,5.9,2,0
2025-04-14 07:00:00,34.8,51,1008.7,7.8,2,0
2025-04-14 08:00:00,34.8,51,1007.7,9.7,2,0
2025-04-14 09:00:00,34.1,53,1007.1,10.8,1,0
2025-04-14 10:00:00,33.1,55,1006.6,11.7,1,0
2025-04-14 11:00:00,31.8,62,1006.5,12.8,1,0
2025-04-14 12:00:00,30.6,68,1006.8,11.0,1,0
2025-04-14 13:00:00,29.7,70,1007.3,8.7,1,0
2025-04-14 14:00:00,29.2,72,1008.2,7.1,1,0
2025-04-14 15:00:00,29.0,75,1009.1,6.5,2,0
2025-04-14 16:00:00,28.8,76,1009.6,6.5,2,0
2025-04-14 17:00:00,28.6,77,1009.7,6.1,2,0
2025-04-14 18:00:00,28.5,77,1009.6,5.2,2,0
2025-04-14 19:00:00,28.3,77,1009.3,4.2,2,0
2025-04-14 20:00:00,28.2,76,1008.5,4.4,2,0
2025-04-14 21:00:00,28.0,77,1008.1,4.1,2,0
2025-04-14 22:00:00,27.8,79,1008.1,2.5,2,0
2025-04-14 23:00:00,27.6,80,1008.5,3.4,2,0
2025-04-15 00:00:00,27.4,81,1008.9,3.6,2,0
2025-04-15 01:00:00,27.3,82,1009.6,3.5,2,0
2025-04-15 02:00:00,28.1,78,1010.5,4.6,2,0
2025-04-15 03:00:00,29.7,70,1011.0,5.1,2,0
2025-04-15 04:00:00,31.3,62,1010.9,5.9,2,0
2025-04-15 05:00:00,33.0,54,1010.5,6.0,2,0
2025-04-15 06:00:00,34.4,51,1009.7,7.0,2,0
2025-04-15 07:00:00,34.9,47,1009.0,8.4,1,0
2025-04-15 08:00:00,34.9,45,1008.1,10.1,1,0
2025-04-15 09:00:00,34.6,45,1007.5,11.3,1,0
2025-04-15 10:00:00,33.6,49,1007.2,12.1,3,0
2025-04-15 11:00:00,32.3,56,1007.1,12.2,3,0
2025-04-15 12:00:00,31.1,62,1007.2,12.1,3,0
2025-04-15 13:00:00,30.3,67,1007.7,11.0,2,0
2025-04-15 14:00:00,29.7,72,1008.5,9.4,2,0
2025-04-15 15:00:00,29.2,75,1009.1,7.9,2,0
2025-04-15 16:00:00,29.0,77,1009.6,6.9,1,0
2025-04-15 17:00:00,29.0,77,1009.9,6.4,1,0
2025-04-15 18:00:00,28.9,78,1010.0,5.4,1,0
2025-04-15 19:00:00,28.7,79,1009.7,4.4,2,0
2025-04-15 20:00:00,28.5,81,1009.1,3.4,2,0
2025-04-15 21:00:00,28.3,82,1008.7,2.9,2,0
2025-04-15 22:00:00,27.9,84,1008.7,3.4,2,0
2025-04-15 23:00:00,27.5,86,1008.8,4.1,2,0
2025-04-16 00:00:00,27.5,85,1009.1,5.1,2,0
2025-04-16 01:00:00,28.0,81,1009.6,6.4,1,0
2025-04-16 02:00:00,28.9,75,1010.3,7.7,1,0
2025-04-16 03:00:00,30.1,68,1010.6,8.1,1,0
2025-04-16 04:00:00,31.7,61,1010.4,8.2,2,0
2025-04-16 05:00:00,33.6,53,1009.8,7.8,2,0
2025-04-16 06:00:00,35.1,48,1009.2,7.0,2,0
2025-04-16 07:00:00,36.0,46,1008.4,7.0,2,0
2025-04-16 08:00:00,36.4,45,1007.6,9.4,2,0
2025-04-16 09:00:00,36.2,47,1006.9,12.4,2,0
2025-04-16 10:00:00,35.0,52,1006.5,13.7,0,0
2025-04-16 11:00:00,33.1,58,1006.3,13.8,0,0
2025-04-16 12:00:00,31.6,64,1006.4,13.5,0,0
2025-04-16 13:00:00,30.6,69,1006.9,12.5,1,0
2025-04-16 14:00:00,30.0,73,1007.7,10.7,1,0
2025-04-16 15:00:00,29.5,76,1008.3,9.4,1,0
2025-04-16 16:00:00,29.2,78,1008.6,9.0,2,0
2025-04-16 17:00:00,29.1,80,1008.6,9.4,2,0
2025-04-16 18:00:00,29.0,81,1008.6,8.9,2,0
2025-04-16 19:00:00,28.8,82,1008.4,7.5,3,0
2025-04-16 20:00:00,28.7,82,1008.1,6.5,3,0
2025-04-16 21:00:00,28.6,83,1007.9,6.0,3,0
2025-04-16 22:00:00,28.3,84,1008.0,5.8,3,0
2025-04-16 23:00:00,28.1,86,1008.2,5.5,3,0
